sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.423456527933488,4.428902936132281
2,4.877316545635888,2.756492641319762
3,4.598659599626183,2.3698976092342705
4,4.304336545990989,2.0758480353836535
5,4.276816307276648,1.7949534841204906
6,3.7628119852030295,1.5993369825079693
7,3.6801368604598377,1.442038812399004
8,3.5570306402995624,1.44669272004168
9,3.5882575883828083,1.3356167548408766
10,3.1120147994823317,1.2089565232230703
11,2.991884041232859,1.1343587306544016
12,3.0245290424746334,1.0779517386023578
13,2.901861873633944,0.9351619708659915
14,2.791562912028926,0.915897333109264
15,2.5455636634955594,0.8751391431623692
16,2.631285600457489,0.8559690571268622
17,2.2809493248687334,0.7560957919078739
18,2.1392522932440734,0.7162598791652574
19,2.233887277546012,0.5824380013035428
20,2.3102745456475633,0.6097000107518483
21,2.189653564641463,0.5256184589245159
22,2.012717558591892,0.4292547735461732
23,1.9388521676037613,0.4245435058973455
24,1.8760949062983714,0.38474179571621614
25,1.8838965038440718,0.37804464577423785
26,1.7937522283945548,0.35852837601348075
27,1.6746700036363706,0.3520813679189832
28,1.7424069592516271,0.3546428693828661
29,1.5772369048269157,0.3035178956871761
30,1.3697537601112446,0.2826567247001977
31,1.4683076961676274,0.28161835678163627
32,1.3798573518732793,0.2909910639078959
33,1.519907809240156,0.3153178196597393
34,1.4205747248421887,0.2755309626778274
35,1.3968173637419716,0.2575776649492741
36,1.2751873665904498,0.26001769048175943
37,1.1782697257196828,0.25129222874793644
38,1.1474806746780746,0.22954414824778707
39,1.176203833895991,0.22506364513701488
40,1.1674160200935182,0.21669196184580647
41,1.196485244708688,0.22948643337624833
42,1.1374524268003303,0.2171907808749756
43,1.0683232596052428,0.23089940285586963
44,1.0264894094800463,0.20631110785633094
45,0.8996699526088079,0.19594282165006932
46,1.0387165507709466,0.20588824136703585
47,1.0268882957643681,0.19501533836310067
48,1.002862582611664,0.2011712971694486
49,1.0173661700341639,0.19433435807040667
50,1.0340925829177892,0.20504336638761764
51,1.0978782149855726,0.19031850771066763
52,1.0243246452804433,0.18541161107613535
53,1.053319238994232,0.1974345585563485
54,1.0085232803615805,0.19492269626260597
55,1.082106590170733,0.2059187745926636
56,1.0299604265574274,0.18455128655214367
57,1.0872168730736713,0.19490067445037232
58,1.0834262041042078,0.19401068861155643
59,1.0252548813666276,0.1947602499558337
60,1.037517632831411,0.1751464675097834
61,1.0301658442115322,0.18327728982054758
62,1.0952298729203782,0.206563279302737
63,1.0384272620493078,0.18132440096721436
64,0.9530082715328625,0.1255174178671078
65,0.9719007199858664,0.12935786883357558
66,0.9385836885146536,0.12790948082995152
67,0.9457637253740171,0.1264982285669301
68,0.9199728528434623,0.1272761157196832
